%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211078, 2015/08/9 16:41:21.78)
1 10 1.841743e+00 7.215023e+01 -1.469996750488281200e+05 -1.469996750488281200e+05  1.228159399414062500e+05  1.800102767333984400e+05
2 19 1.849673e+00 7.446745e+01 -1.469996750488281200e+05 -6.898167907714843800e+04  1.247513381958007800e+05  1.755960436401367200e+05
3 28 1.688367e+00 7.512981e+01 -1.469996750488281200e+05 -7.160481066894531300e+04  2.351221697998046900e+04  2.174620352783203100e+05
4 37 1.845586e+00 8.744512e+01 -1.506218032226562500e+05 -1.506218032226562500e+05 -3.910837457275390600e+04  2.055444224853515600e+05
5 46 1.809595e+00 8.768635e+01 -1.621825383300781200e+05 -1.621825383300781200e+05 -7.458213742065429700e+04  1.067011926269531200e+05
6 55 1.646857e+00 8.466853e+01 -1.689686556091308600e+05 -1.689686556091308600e+05 -8.694765681457519500e+04 -4.562121191406250000e+04
7 64 1.419461e+00 8.427882e+01 -1.689686556091308600e+05 -1.510816076660156200e+05  1.413238226318359400e+04  1.418593684082031200e+05
8 73 1.290795e+00 8.478713e+01 -1.689686556091308600e+05 -1.667452780151367200e+05 -8.081135385131835900e+04  9.411059844970703100e+04
9 82 1.424651e+00 7.771697e+01 -1.689686556091308600e+05 -1.592204558105468800e+05 -9.080834045410156300e+04  1.209312118530273400e+05
10 91 1.317864e+00 7.656499e+01 -1.689686556091308600e+05 -1.532713503417968700e+05 -6.094269573974609400e+04  1.027991408691406200e+05
11 100 1.197525e+00 7.799196e+01 -1.689686556091308600e+05 -1.568096470336914100e+05 -1.069411240844726600e+05  3.640715454101562500e+04
12 109 1.005408e+00 7.831475e+01 -1.689686556091308600e+05 -1.614504403076171900e+05 -7.144750526428222700e+04 -1.000443847656250000e+03
13 118 8.119414e-01 7.773768e+01 -1.726752302856445300e+05 -1.726752302856445300e+05 -1.056391509094238300e+05  8.786210546875000000e+04
14 127 7.442781e-01 7.984483e+01 -1.726752302856445300e+05 -1.595273560638427700e+05 -1.283101146240234400e+05 -2.276689489746093800e+04
15 136 7.068999e-01 7.893476e+01 -1.726752302856445300e+05 -1.560898807373046900e+05 -1.263097652740478500e+05  3.220255224609375000e+04
16 145 6.644003e-01 8.218066e+01 -1.726752302856445300e+05 -1.551134002075195300e+05 -1.316447241821289100e+05 -8.825884915161132800e+04
17 154 5.677920e-01 8.019099e+01 -1.789572785034179700e+05 -1.789572785034179700e+05 -1.533334837036132800e+05 -1.095927084960937500e+05
